subject_id,channel,n_samples,nan_inf_count,nan_inf_fraction,std,range,flat_fraction,extreme_fraction
a01,ECG,2957000,0,0.0,0.2444640594504541,4.095,0.02179032803517078,0.019709502874535
a02,ECG,3182000,0,0.0,0.1246260276274022,5.76,0.031117536140791956,0.0003504085480829667
a03,ECG,3135000,0,0.0,0.44499646420791095,20.47,0.030516746411483255,0.039101754385964915
a05,ECG,2719500,0,0.0,0.6104270272345411,17.33,0.023319727891156463,0.034732855304283876
a06,ECG,3058000,0,0.0,0.12871924448607813,8.965,0.06135775016350556,0.019959450621321127
a07,ECG,3060500,0,0.0,0.5873126062156959,14.015,0.03334128410390459,0.04024995915700049
a08,ECG,3002500,0,0.0,0.7404796727730901,18.21,0.011636636136552872,0.03520233139050791
a09,ECG,2988000,0,0.0,0.18490045682531472,4.78,0.02037182061579652,0.01918206157965194
a11,ECG,2808000,0,0.0,0.2900868365123978,8.84,0.021248219373219374,0.02391488603988604
a12,ECG,3462000,0,0.0,0.10063239929633111,6.71,0.06022357019064125,0.025608607741190063
a13,ECG,2965500,0,0.0,0.664635357776736,17.71,0.011447647951441578,0.02809610520991401
a14,ECG,3135000,0,0.0,0.2367884860419129,4.335,0.028472089314194576,0.01865645933014354
a15,ECG,3056000,0,0.0,0.7128400862691396,20.475,0.01131184554973822,0.03805988219895288
a16,ECG,2888000,0,0.0,0.8800419863316713,20.475,0.017655470914127423,0.06117590027700831
a18,ECG,2957000,0,0.0,0.18288734832943607,5.76,0.024147784917145757,0.02258133243151843
a19,ECG,3012000,0,0.0,0.6980120577510025,20.475,0.008842961487383798,0.009575033200531208
a20,ECG,3060000,0,0.0,0.3941678140199415,19.82,0.00810718954248366,0.0025137254901960782
b01,ECG,2917000,0,0.0,0.2933274862856127,12.405000000000001,0.030113472745971887,0.030921494686321563
b02,ECG,3170500,0,0.0,1.1415592947557665,20.475,0.00889197287494086,0.012163381170162435
b04,ECG,2573000,0,0.0,0.2708390264652994,20.475,0.0479436455499417,0.018575981344733775
b05,ECG,2593500,0,0.0,1.5361283985285208,20.475,0.014912666281087334,0.0646604973973395
c01,ECG,2899000,0,0.0,0.28962790718996356,20.47,0.04477302518109693,0.04574197999310107
c02,ECG,3007000,0,0.0,0.42920619198293575,20.475,0.038195876288659794,0.05681077485866312
c03,ECG,2720000,0,0.0,0.2325002826772717,6.8,0.04515772058823529,0.02982279411764706
c04,ECG,2887000,0,0.0,0.31221851388141464,20.47,0.052784205057152755,0.02781641842743332
c06,ECG,2804000,0,0.0,0.19725227144271454,20.29,0.03940442225392297,0.03136804564907275
c07,ECG,2569000,0,0.0,0.12308623466323355,5.45,0.05838263915920592,0.037418061502530166
c08,ECG,3084000,0,0.0,0.11650233197747499,12.105,0.0545745784695201,0.020083333333333335
c09,ECG,2805000,0,0.0,0.3927692403219121,20.475,0.08433155080213904,0.048711586452762926
c10,ECG,2585000,0,0.0,0.44447584419443525,20.475,0.0992073500967118,0.029592263056092843
