sample,time_sec
48,0.48
147,1.47
223,2.23
288,2.88
373,3.73
449,4.49
526,5.26
602,6.02
678,6.78
766,7.66
854,8.54
946,9.46
1041,10.41
1133,11.33
1225,12.25
1321,13.21
1416,14.16
1508,15.08
1599,15.99
1691,16.91
1784,17.84
1877,18.77
1967,19.67
2054,20.54
2140,21.4
2227,22.27
2313,23.13
2371,23.71
2429,24.29
2486,24.86
2570,25.7
2655,26.55
2740,27.4
2823,28.23
2905,29.05
2989,29.89
3073,30.73
3158,31.58
3242,32.42
3325,33.25
3409,34.09
3495,34.95
3580,35.8
3655,36.55
3730,37.3
3824,38.24
3918,39.18
4001,40.01
4083,40.83
4166,41.66
4252,42.52
4336,43.36
4419,44.19
4503,45.03
4588,45.88
4674,46.74
4748,47.48
4822,48.22
4913,49.13
5004,50.04
5083,50.83
5161,51.61
5240,52.4
5318,53.18
5396,53.96
5476,54.76
5557,55.57
5640,56.4
5721,57.21
5803,58.03
5887,58.87
5971,59.71
6055,60.55
6137,61.37
6219,62.19
6303,63.03
6388,63.88
6471,64.71
6555,65.55
6639,66.39
6726,67.26
6813,68.13
6899,68.99
6982,69.82
7066,70.66
7149,71.49
7233,72.33
7314,73.14
7393,73.93
7473,74.73
7550,75.5
7628,76.28
7705,77.05
7773,77.73
7842,78.42
7924,79.24
8006,80.06
8080,80.8
8155,81.55
8230,82.3
8306,83.06
8383,83.83
8461,84.61
8541,85.41
8619,86.19
8698,86.98
8779,87.79
8861,88.61
8926,89.26
9003,90.03
9069,90.69
9164,91.64
9249,92.49
9351,93.51
9443,94.43
9535,95.35
9626,96.26
9716,97.16
9807,98.07
9900,99.0
9995,99.95
10089,100.89
10183,101.83
10279,102.79
10380,103.8
10480,104.8
10580,105.8
10680,106.8
10785,107.85
10891,108.91
10989,109.89
11081,110.81
11175,111.75
11268,112.68
11358,113.58
11447,114.47
11533,115.33
11620,116.2
11707,117.07
11795,117.95
11881,118.81
11967,119.67
12053,120.53
12140,121.4
12226,122.26
12313,123.13
12398,123.98
12483,124.83
12569,125.69
12655,126.55
12740,127.4
12825,128.25
12910,129.1
12998,129.98
13087,130.87
13175,131.75
13265,132.65
13358,133.58
13452,134.52
13544,135.44
13636,136.36
13727,137.27
13820,138.2
13914,139.14
14006,140.06
14095,140.95
14184,141.84
14274,142.74
14364,143.64
14453,144.53
14541,145.41
14629,146.29
14719,147.19
14809,148.09
14896,148.96
14983,149.83
15071,150.71
15163,151.63
15256,152.56
15346,153.46
15437,154.37
15527,155.27
15618,156.18
15710,157.1
15798,157.98
15884,158.84
15969,159.69
16050,160.5
16129,161.29
16208,162.08
16287,162.87
16368,163.68
16451,164.51
16535,165.35
16618,166.18
16701,167.01
16786,167.86
16871,168.71
16957,169.57
17041,170.41
17125,171.25
17211,172.11
17297,172.97
17384,173.84
17473,174.73
17564,175.64
17654,176.54
17745,177.45
17835,178.35
17922,179.22
18010,180.1
18100,181.0
18188,181.88
18277,182.77
18367,183.67
18464,184.64
18568,185.68
18672,186.72
18770,187.7
18869,188.69
18969,189.69
19058,190.58
19148,191.48
19236,192.36
19321,193.21
19405,194.05
19491,194.91
19575,195.75
19657,196.57
19738,197.38
19820,198.2
19900,199.0
19980,199.8
20061,200.61
20142,201.42
20220,202.2
20298,202.98
20376,203.76
20455,204.55
20533,205.33
20611,206.11
20688,206.88
20767,207.67
20846,208.46
20926,209.26
21005,210.05
21085,210.85
21167,211.67
21248,212.48
21329,213.29
21411,214.11
21491,214.91
21571,215.71
21652,216.52
21732,217.32
21813,218.13
21892,218.92
21972,219.72
22054,220.54
22134,221.34
22216,222.16
22300,223.0
22387,223.87
22475,224.75
22561,225.61
22645,226.45
22732,227.32
22822,228.22
22913,229.13
23003,230.03
23091,230.91
23176,231.76
23259,232.59
23342,233.42
23426,234.26
23510,235.1
23595,235.95
23681,236.81
23766,237.66
23849,238.49
23932,239.32
24017,240.17
24103,241.03
24190,241.9
24277,242.77
24363,243.63
24448,244.48
24531,245.31
24613,246.13
24696,246.96
24779,247.79
24862,248.62
24944,249.44
25028,250.28
25112,251.12
25200,252.0
25291,252.91
25385,253.85
25477,254.77
25569,255.69
25661,256.61
25751,257.51
25841,258.41
25929,259.29
26017,260.17
26105,261.05
26191,261.91
26276,262.76
26356,263.56
26434,264.34
26510,265.1
26583,265.83
26655,266.55
26728,267.28
26801,268.01
26876,268.76
26954,269.54
27034,270.34
27115,271.15
27198,271.98
27283,272.83
27367,273.67
27452,274.52
27538,275.38
27627,276.27
27720,277.2
27816,278.16
27913,279.13
28006,280.06
28098,280.98
28188,281.88
28274,282.74
28360,283.6
28444,284.44
28528,285.28
28610,286.1
28691,286.91
28769,287.69
28844,288.44
28919,289.19
28992,289.92
29065,290.65
29137,291.37
29210,292.1
29283,292.83
29358,293.58
29434,294.34
29511,295.11
29589,295.89
29669,296.69
29753,297.53
29837,298.37
29920,299.2
30006,300.06
30092,300.92
30177,301.77
30261,302.61
30343,303.43
30423,304.23
30502,305.02
30581,305.81
30660,306.6
30740,307.4
30818,308.18
30897,308.97
30978,309.78
31058,310.58
31138,311.38
31220,312.2
31301,313.01
31383,313.83
31467,314.67
31551,315.51
31636,316.36
31721,317.21
31805,318.05
31887,318.87
31968,319.68
32049,320.49
32130,321.3
32211,322.11
32291,322.91
32373,323.73
32455,324.55
32536,325.36
32618,326.18
32702,327.02
32787,327.87
32872,328.72
32959,329.59
33047,330.47
33140,331.4
33234,332.34
33326,333.26
33414,334.14
33503,335.03
33584,335.84
33666,336.66
33752,337.52
33840,338.4
33928,339.28
34012,340.12
34096,340.96
34179,341.79
34262,342.62
34345,343.45
34429,344.29
34513,345.13
34597,345.97
34680,346.8
34765,347.65
34850,348.5
34935,349.35
35019,350.19
35102,351.02
35184,351.84
35266,352.66
35347,353.47
35427,354.27
35506,355.06
35586,355.86
35668,356.68
35753,357.53
35839,358.39
35927,359.27
36017,360.17
36111,361.11
36205,362.05
36296,362.96
36381,363.81
36466,364.66
36549,365.49
36630,366.3
36707,367.07
36784,367.84
36859,368.59
36935,369.35
37008,370.08
37081,370.81
37156,371.56
37211,372.11
37266,372.66
37321,373.21
37388,373.88
37455,374.55
37530,375.3
37606,376.06
37676,376.76
37747,377.47
37834,378.34
37921,379.21
38001,380.01
38081,380.81
38162,381.62
38246,382.46
38330,383.3
38413,384.13
38497,384.97
38583,385.83
38671,386.71
38759,387.59
38848,388.48
38936,389.36
39025,390.25
39114,391.14
39204,392.04
39292,392.92
39380,393.8
39468,394.68
39557,395.57
39646,396.46
39734,397.34
39821,398.21
39907,399.07
39994,399.94
40081,400.81
40167,401.67
40254,402.54
40343,403.43
40434,404.34
40524,405.24
40615,406.15
40703,407.03
40792,407.92
40880,408.8
40968,409.68
41056,410.56
41142,411.42
41226,412.26
41310,413.1
